timestamp, name, id, daily, average, vol
1576051200000,Blade_of_saeldor_(inactive),23997,78409380,86491984,36
1571814000000,Blade_of_saeldor_(inactive),23997,77092164,76376277,76
1567407600000,Blade_of_saeldor_(inactive),23997,106357095,124426644,108
1566889200000,Blade_of_saeldor_(inactive),23997,120010493,127250154,8
1567494000000,Blade_of_saeldor_(inactive),23997,102445864,124198276,37
1577952000000,Blade_of_saeldor_(inactive),23997,80467982,76848832,62
1573545600000,Blade_of_saeldor_(inactive),23997,89732594,82577583,52
1574582400000,Blade_of_saeldor_(inactive),23997,94098443,88398536,62
1568790000000,Blade_of_saeldor_(inactive),23997,100489211,112043621,79
1574496000000,Blade_of_saeldor_(inactive),23997,95351288,87919481,58
1578038400000,Blade_of_saeldor_(inactive),23997,80467982,76889696,37
1568185200000,Blade_of_saeldor_(inactive),23997,102934041,120476447,51
1576915200000,Blade_of_saeldor_(inactive),23997,75811591,81416765,98
1580112000000,Blade_of_saeldor_(inactive),23997,94782900,83157662,68
1570345200000,Blade_of_saeldor_(inactive),23997,68220896,91190157,81
1566025200000,Blade_of_saeldor_(inactive),23997,140895501,100364341,140
1579766400000,Blade_of_saeldor_(inactive),23997,89603749,81042837,113
1578124800000,Blade_of_saeldor_(inactive),23997,80467982,76930560,98
1568530800000,Blade_of_saeldor_(inactive),23997,101995973,116160515,56
1572332400000,Blade_of_saeldor_(inactive),23997,81535545,75687221,54
1565593200000,Blade_of_saeldor_(inactive),23997,129309539,77728499,105
1572073200000,Blade_of_saeldor_(inactive),23997,79726796,75718342,72
1574755200000,Blade_of_saeldor_(inactive),23997,91059792,89184556,48
1579075200000,Blade_of_saeldor_(inactive),23997,81176665,77800674,69
1575878400000,Blade_of_saeldor_(inactive),23997,77463509,87225334,20
1575273600000,Blade_of_saeldor_(inactive),23997,82927271,89720216,89
1566111600000,Blade_of_saeldor_(inactive),23997,145482991,105210440,92
1578902400000,Blade_of_saeldor_(inactive),23997,78524804,77524318,44
1571554800000,Blade_of_saeldor_(inactive),23997,80387529,78005761,53
1574841600000,Blade_of_saeldor_(inactive),23997,91059792,89491522,64
1577088000000,Blade_of_saeldor_(inactive),23997,76560589,80164051,75
1577174400000,Blade_of_saeldor_(inactive),23997,76560589,79579456,85
1574928000000,Blade_of_saeldor_(inactive),23997,86701529,89663722,49
1565161200000,Blade_of_saeldor_(inactive),23997,107854289,57571749,93
1578384000000,Blade_of_saeldor_(inactive),23997,78779563,77336288,48
1572678000000,Blade_of_saeldor_(inactive),23997,85025634,76478751,31
1577520000000,Blade_of_saeldor_(inactive),23997,76165304,77595212,42
1569999600000,Blade_of_saeldor_(inactive),23997,77086430,95203657,72
